ID	Term	Type	Preferred_form
ECK120002949	citE	GENE	citE
ECK120002948	citF	GENE	citF
ECK120002946	citG	GENE	citG
ECK120002945	citT	GENE	citT
ECK120002947	citX	GENE	citX
ECK120002206	clcA	GENE	clcA
ECK120003439	clcB	GENE	clcB
ECK120000152	clpA	GENE	clpA
ECK120000153	clpB	GENE	clpB
ECK120000154	clpP	GENE	clpP
ECK120003063	clpS	GENE	clpS
ECK120000155	clpX	GENE	clpX
ECK120001556	clsA	GENE	clsA
ECK120001239	cmk	GENE	cmk
ECK120003607	cmoA	GENE	cmoA
ECK120003608	cmoB	GENE	cmoB
ECK120001726	cmtA	GENE	cmtA
ECK120001725	cmtB	GENE	cmtB
ECK120003458	cnu	GENE	cnu
ECK120000913	coaA	GENE	coaA
ECK120001171	coaD	GENE	coaD
ECK120002189	coaE	GENE	coaE
ECK120003173	cobB	GENE	cobB
ECK120002956	cobC	GENE	cobC
ECK120002049	cobS	GENE	cobS
ECK120002050	cobT	GENE	cobT
ECK120002434	cobU	GENE	cobU
ECK120001297	codA	GENE	codA
ECK120001298	codB	GENE	codB
ECK120002857	cof	GENE	cof
ECK120003165	comR	GENE	comR
ECK120002868	copA	GENE	copA
ECK120001425	corA	GENE	corA
ECK120004136	cpdA	GENE	cpdA
ECK120000156	cpdB	GENE	cpdB
ECK120000157	cpsB	GENE	cpsB
ECK120000158	cpsG	GENE	cpsG
ECK120004071	cptA	GENE	cptA
ECK120004072	cptB	GENE	cptB
ECK120000159	cpxA	GENE	cpxA
ECK120004317	cpxP	GENE	cpxP
ECK120000017	cpxR	GENE	cpxR
ECK120000332	cra	GENE	cra
ECK120002096	crcB	GENE	crcB
